Región,Fecha del Varamiento,N_ejemplares,Tipo de Especie,Comuna,Localidad,Sustrato,Latitud,Longitud,Estado de Desarrollo,Sexo,Condición Vital,Condición Corporal,Largo Aprox en metros,Heridas/Marcas,Acciones traslado / Centro de Atención / Rehabilitación,Participan Otras Instituciones,Se toman Muestras,Fecha de Inicio,Fecha de Término
8,2023-01-01,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Tomé,SECTOR TRES PINOS -TOME,Roquerío,3.664932222216E+001,7.296540277766E+001,Juvenil,Indeterminado,No se puede determinar,Normal,NO APLICA,-,NO APLICA,NO APLICA,NO APLICA,02-01-2023,02-01-2023
5,2023-01-01,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Puchuncaví,playa chungungo,Playa Arena,3.2653886111E+001,7.144345E+001,Adulto,Indeterminado,Vivo,Normal,0.4,Sin marcas,-,NO APLICA,NO APLICA,01-01-2023,01-01-2023
10,2023-01-03,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Puerto Montt,CHINQUIHUE,Roquerío,4.150599138883E+001,7.299551972216E+001,Cría,Indeterminado,Vivo,Con Emaciación (muy flaco),'0,8',Con marcas artificiales o heridas,Facultad de Medicina  Verinaria U. San Sebastián)  (Los Lagos),NO APLICA,NO APLICA,03-01-2023,03-01-2023
5,2023-01-03,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Papudo,PAPUDO,Roquerío,3.250490833333E+001,7.1451086111E+001,Juvenil,Indeterminado,Vivo,Normal,1.50,Sin marcas,-,NO APLICA,NO APLICA,03-01-2023,03-01-2023
4,2023-01-03,1,AV - Pingüino de Humboldt - Spheniscus humboldti,La Serena,La Serena,Playa Arena,2.989152777766E+001,7.127371388883E+001,Juvenil,Indeterminado,Vivo,Normal,0.55,Sin marcas,NO APLICA,NO APLICA,NO APLICA,03-01-2023,03-01-2023
7,2023-01-04,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Vichuquén,Llico,Playa Arena,3.47830555555E+001,7.211194444433E+001,Juvenil,Indeterminado,Vivo,Normal,'0,7',-,-,Conaf,NO APLICA,04-01-2023,04-01-2023
16,2023-01-04,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Cobquecura,Rinconada de Taucú,Playa Arena,3.61735E+001,7.281177777766E+001,Juvenil,Indeterminado,Vivo,Normal,1,Con marcas artificiales o heridas,Universidad San Sebastián (Concepción- Biobío),NO APLICA,NO APLICA,04-01-2023,04-01-2023
4,2023-01-04,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Coquimbo,Bahía La Herradura,Playa Arena,2.99801305555E+001,7.135114166666E+001,Adulto,Indeterminado,Muerto,Normal,1.8,Secreciones,NO APLICA,Municipalidad,NO APLICA,04-01-2023,05-01-2023
1,2023-01-04,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Iquique,Playa Chipana,Roquerío,2.132116944433E+001,7.007176944433E+001,Adulto,Indeterminado,Muerto,Normal,'1,5',Sin marcas,-,SAG (servicio agrícola y ganadero),Laboratorios,04-01-2023,04-01-2023
3,2023-01-05,2,AV - Pingüino de Humboldt - Spheniscus humboldti,Huasco,sector humedal playa grande,Playa,2.8463261111E+001,7.122665E+001,Adulto,Indeterminado,Muerto,Normal,0.45,Sin marcas,-,OTRO,NO APLICA,05-01-2023,05-01-2023
